anidbid, title_type, language, title
24	synonym	en	dot hack sign
24	synonym	ro	.hack//SIGN
24	synonym	x-jat	hack sign
24	synonym	x-jat	hack//SIGN
24	synonym	bg	Хак//Симбол
25	main	x-jat	Heppoko Jikken Animation Excel Saga
25	official	it	Excel Saga
25	official	es	Excel Saga
25	official	pt	Excel Saga
25	official	pt-BR	Excel Saga
25	official	fr	Excel Saga
25	official	en	Excel Saga
25	official	ja	へっぽこ実験アニメーション エクセル・サーガ
25	short	x-jat	Excel
25	short	ru	Эксель Cага
25	synonym	fr	Animation expérimentale Excel Saga
25	synonym	x-jat	Excel Saga
25	synonym	es	Excel Saga: Animación Absurda y Experimental
25	synonym	it	Excel Saga Animazione Sperimentale
25	synonym	en	Quack Experimental Anime Excel Saga
25	synonym	en	Weird Anime Excel Saga
25	synonym	bg	Експериментално Аниме: Ексел Сага
25	synonym	ru	Извращенное экспериментальное аниме Эксель Сага
25	synonym	zh-Hans	迷糊女战士
26	main	x-jat	Juuni Kokuki
26	official	de	12 Kingdoms - Juuni Kokki
26	official	es	Doce Reinos
26	official	ca	Els Dotze Regnes
26	official	fr	Les 12 royaumes
26	official	es-LA	Los Doce Reinos
26	official	en	The Twelve Kingdoms
26	official	pt-BR	The Twelve Kingdoms
26	official	he	שתים עשרה הממלכות
26	official	ru	Двенадцать королевств
26	official	ja	十二国記
26	official	zh	十二国记
26	short	en	12K
26	short	x-jat	JK
26	short	x-jat	Juuni
26	synonym	th	12 อาณาจักรเทพยุทธ์
26	synonym	ro	12 Împărăţii
26	synonym	lt	12 Karalysčių
26	synonym	en	12 Kingdoms
26	synonym	x-jat	12 Kokuki
26	synonym	tr	12 Krallık
26	synonym	pl	12 królestw
26	synonym	pt-BR	Doze Reinos
26	synonym	cs	Dvanáct království
26	synonym	pl	Dwanaście królestw
26	synonym	ja	Juuni Kokki
26	synonym	et	Kaksteist Kuningriiki
26	synonym	en	Record of 12 countries
26	synonym	ar	الممالك الاثنى عشر
26	synonym	bg	Дванадесете Кралства
26	synonym	ru	Хроники Двенадцати Королевств
26	synonym	uk	Хроніки дванадцяти королівств
27	main	x-jat	Aa! Megami-sama!
27	official	th	เทพธิดาอลเวง
27	official	cs	Ach! Má bohyně
27	official	pt-BR	Ah! Minha Deusa
27	official	fr	Ah! My Goddess - OAV
27	official	it	Oh, Mia Dea!
27	official	es	¡Oh, Mi Diosa!
27	official	en	Oh My Goddess!
27	official	de	Oh! My Goddess - OVA
27	official	ru	Моя богиня!
27	official	ja	ああっ女神さまっ
27	short	x-jat	aams
27	short	en	AMG
27	short	x-jat	AMS
27	short	x-jat	ams ova
27	short	en	OMG
27	short	de	omg ova
27	synonym	en	Ah! My Goddess
27	synonym	en	Oh! My Goddess
27	synonym	bg	Ах! Богиньо моя!
27	synonym	zh-Hans	我的女神
28	main	x-jat	Akira
28	official	ja	アキラ
28	official	th	อากิระ คนไม่ใช่คน
28	official	da	Akira
28	official	es-LA	Akira
28	official	it	Akira
28	official	en	Akira
28	official	el	Akira
28	official	pl	Akira
28	official	fr	Akira
28	official	pt-BR	Akira
28	official	sv	Akira
28	official	hu	Akira
28	official	cs	Akira
28	official	tr	Akira
28	official	de	Akira
28	official	pt	Akira
28	official	fi	Akira
28	official	fa	آکیرا
28	official	he	אקירה
28	official	ru	Акира
28	official	bg	Акира
28	synonym	lt	Akira
28	synonym	uk	Акіра
29	main	x-jat	Tenshi Kinryouku
29	official	fr	Angel Sanctuary
29	official	pl	Angel Sanctuary
29	official	en	Angel Sanctuary
29	official	es	Angel Sanctuary
29	official	de	Angel Sanctuary
29	official	it	Angel Sanctuary - Riserva di caccia agli Angeli
29	official	ru	Прибежище ангела
29	official	ja	天使禁猟区
29	short	en	AS
29	short	x-jat	tenkin
29	short	ja	天禁
29	synonym	tr	Melek Tapınağı
29	synonym	ru	Убежище ангела
30	main	x-jat	X (2001)
30	official	pl	X
30	official	fr	X
30	official	ja	X (エックス) (2001)
30	official	de	X - Die Serie
30	official	it	X serie TV
30	official	ru	X (Икс)
30	official	he	אקס
30	synonym	x-jat	X TV
30	synonym	de	X - TV Serie
30	synonym	ar	إكس
30	synonym	bg	Х
32	main	x-jat	Hellsing
32	official	ko	헬싱
32	official	ja	ヘルシング
32	official	th	เฮลล์ซิ่ง
32	official	pt	Hellsing
32	official	de	Hellsing
32	official	en	Hellsing
32	official	pl	Hellsing
32	official	sv	Hellsing
32	official	es-LA	Hellsing
32	official	it	Hellsing
32	official	cs	Hellsing
32	official	hu	Hellsing
32	official	fr	Hellsing
32	official	tr	Hellsing
32	official	pt-BR	Hellsing
32	official	lt	Helsingas
32	official	ru	Хеллсинг: Война с нечистью
32	official	bg	Хелсинг
32	short	en	hellsingtv
32	short	x-jat	hellsing tv
32	synonym	ar	هيلسنج
32	synonym	bg	Хеллсинг
32	synonym	uk	Хелсінг
32	synonym	zh-Hans	王家国教骑士团
33	main	x-jat	Happy Lesson (2002)
33	official	ja	HAPPY☆LESSON (2002)
33	short	x-jat	HL
33	short	x-jat	HLTV
33	synonym	th	แฮปปี้ เลสซั่น
33	synonym	x-jat	Happy Lesson TV
33	synonym	bg	Щастлив урок ТВ
34	main	x-jat	Fruits Basket
34	official	ko	후르츠 바스켓
34	official	ja	フルーツバスケット
34	official	th	ฟรุ๊ตส์บาสเก็ต
34	official	sv	Fruits Basket
34	official	en	Fruits Basket
34	official	es	Fruits Basket
34	official	fi	Fruits Basket
34	official	fr	Fruits Basket
