id, releasetitle, country
397	Noddy (1998)	CA
398	The Best Of Broadway	US
399	The Jane Wyman Show	US
400	Funny Face	US
401	The Strangerers	UK
402	Smack the Pony	UK
403	Liberty Street	CA
404	Minty	AU
405	Starting From Scratch	US
406	Sam Benedict	US
407	Grindl	US
408	Westinghouse Desilu Playhouse	US
409	These Arms of Mine	CA
410	The Panel	AU
411	Alcoa Premiere	US
412	Death Valley Days	US
413	Sky King	US
414	Tombstone Territory	US
415	New Attitude	US
416	Lucas Tanner	US
417	Big John, Little John	US
418	Hawk	US
419	Straightaway	US
420	Arrest and Trial	US
421	On The Up	UK
422	Porridge	UK
423	Peak Practice	UK
424	Paul Merton in Galton & Simpson's...	UK
425	Stay Lucky	UK
426	The Two Ronnies	UK
427	The Liver Birds	UK
428	Quack Pack	US
429	The Ann Sothern Show	US
430	The Likely Lads	UK
431	Steptoe and Son	UK
432	Where The Action Is	US
433	Outriders	AU
14705	Mästerverket	SE
435	Waynehead	US
436	Kraft Television Theatre (1947)	US
437	Man Against Crime	US
438	The Armstrong Circle Theatre	US
439	The Lieutenant	US
440	Just Good Friends	UK
441	Small & Frye	US
442	The Road West	US
16982	A Pillow Case of Mystery	HK
444	Big Wave Dave's	US
445	The Pulitzer Prize Playhouse	US
446	The Littlest Hobo (1979)	CA
447	Jackson's Wharf	NZ
448	Kraft Suspense Theatre	US
449	Mr. Broadway	US
450	3 Friends and Jerry	UK
451	The Miraculous Mellops	AU
452	StarStreet	UK
453	Fear	US
454	Monkey	JP
455	The Chamber	US
456	Tinsel Town	UK
457	Saddle Rash	US
458	Hey Landlord	US
459	The Judy Garland Show	US
460	The Book Group	UK
461	Home (AU)	AU
462	The Sweet Spot	US
463	The Outcasts (US)	US
464	A Horseman Riding By	UK
465	The Last Train	UK
466	Stacey Stone	UK
467	Introducing Gary Petty	AU
468	The Games (AU)	AU
469	Full Frontal	AU
470	Shotgun Slade	US
471	Second Time Around (UK)	UK
472	Keep It in the Family (1980)	UK
473	Pop Years	UK
474	The Adventures of Skippy	AU
475	Arabian Knights	US
476	Mother Love	UK
477	Café Americain	US
478	Sketch Pad	""
479	Tuesday Night Titans	US
480	The New Phil Silvers Show	US
481	Take the High Road	UK
482	Spitting Image	UK
483	The David Essex Showcase	UK
484	Boys from the Blackstuff	UK
485	Not Only... But Also	UK
486	Spatz	UK
487	Stella Street	UK
488	The Home and Family Show	US
489	Slice of Life	US
21910	Guardians of Luna	US
491	Steve Donovan, Western Marshall	US
492	Record of Lodoss War	JP
493	Cos	US
495	Tales of the Texas Rangers	US
496	TV Nation	US
497	Zoboomafoo	US
498	Russian Roulette	US
499	Jack of Hearts	UK
500	Wild & Crazy Kids	US
501	Weirdsister College	UK
502	Hazell	UK
503	No Strings (1974)	UK
504	The Shillingbury Tales	UK
18806	Horne And Corden	UK
506	Dossa and Joe	UK
507	Two Faces West	US
508	About Face	UK
509	Hootenanny	US
510	Mike and Angelo	UK
21089	Beyond Chance (2006)	CA
512	The Young Lawyers	US
513	The Interns	US
514	Division 4	AU
515	A Kind of Loving	UK
516	Roger Roger	UK
517	Union Pacific	US
518	Dangerous Assignment	US
519	Don't Eat the Neighbours	UK
520	The Dream Team	US
521	Extreme Dinosaurs	US
522	It's Only TV But I Like It	UK
523	The Magician (1999)	US
524	The Micro Ventures	""
525	The Monroes (1995)	US
526	Wichita Town	US
527	The Wrangler	US
528	Nightingales (UK)	UK
529	Office Gossip	UK
530	P.R.	CA
531	Preston Front	UK
532	Valley of the Dinosaurs	US
533	Scotland Yard	UK
534	Tandarra	AU
535	Totally Hoops	US
536	Circus of the Stars	US
537	Changing Rooms (UK)	UK
538	Egoli: Place Of Gold	ZA
539	Jane	UK
